City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,sao simao,-21.4792,-47.5508,30.19,24,21,1.17,BR,1724868111
134,hamilton,39.1834,-84.5333,35.43,50,0,1.34,US,1724867929
135,forster,-32.1667,152.5167,17.3,50,76,6.32,AU,1724868113
136,port elizabeth,-33.918,25.5701,11.16,63,0,11.83,ZA,1724868116
137,orzysz,53.8097,21.9481,24.5,57,0,3.17,PL,1724868117
138,visby,57.6409,18.296,20.12,52,0,3.09,SE,1724868118
139,dock junction,31.2025,-81.5168,33.01,66,40,4.63,US,1724868120
140,tazovsky,67.4667,78.7,11.12,87,32,2.56,RU,1724868121
141,aykhal,66.0,111.5,6.01,86,99,1.64,RU,1724868122
142,al kharj,24.155,47.3346,40.32,12,2,4.42,SA,1724868123
143,colonia,50.9333,6.95,29.36,48,0,1.54,DE,1724868124
144,horqueta,-23.3428,-57.0597,34.67,15,9,3.01,PY,1724868126
145,atafu village,-8.5421,-172.5159,28.17,73,5,7.51,TK,1724868128
146,jaisalmer,26.9147,70.9181,28.2,72,88,5.86,IN,1724868129
147,keflavik,64.0049,-22.5624,11.24,71,75,7.2,IS,1724868130
148,lazaro cardenas,17.9583,-102.2,31.34,62,84,2.84,MX,1724868132
149,la passe,45.5549,-0.8967,21.2,75,63,4.29,FR,1724868133
150,pisco,-13.7,-76.2167,18.03,77,46,4.63,PE,1724868134
151,malango,-2.9627,119.9001,17.47,99,67,0.88,ID,1724868135
152,juan griego,11.0817,-63.9655,37.07,49,6,3.6,VE,1724868137
153,ulladulla,-35.35,150.4667,12.68,46,75,3.18,AU,1724868138
154,kabalo,-6.05,26.9167,31.55,35,57,1.11,CD,1724868139
155,kilkis,40.9919,22.8708,26.17,44,100,2.84,GR,1724868140
156,shatsk,54.0258,41.7119,22.56,54,93,2.93,RU,1724868141
157,princeville,45.7668,-61.2985,23.36,74,75,4.63,CA,1724868143
158,dunedin,-45.8742,170.5036,11.0,69,15,0.89,NZ,1724868144
159,kiunga,-6.1219,141.2906,22.58,95,99,1.03,PG,1724868145
160,fort mcmurray,56.7268,-111.381,18.77,72,75,4.12,CA,1724868032
161,port mathurin,-19.6833,63.4167,21.67,71,41,13.14,MU,1724868147
162,recani,31.2846,-4.2688,39.46,9,3,5.05,MA,1724868149
163,mbuji-mayi,-6.15,23.6,30.93,24,32,2.06,CD,1724868150
164,dampit,-8.2116,112.7493,18.51,88,49,1.6,ID,1724868151
165,kuqa,41.7278,82.9364,27.64,32,77,2.84,CN,1724868018
166,kem',64.9555,34.5793,13.23,82,100,4.09,RU,1724868153
167,aripuana,-9.1667,-60.6333,39.93,14,0,1.46,BR,1724868155
168,karonga,-9.9333,33.9333,24.15,76,15,0.61,MW,1724868165
169,plesetsk,62.708,40.2916,14.05,57,99,1.99,RU,1724868167
170,lorengau,-2.0226,147.2712,28.11,76,63,5.31,PG,1724868168
171,trairi,-3.2778,-39.2689,28.28,60,79,7.27,BR,1724867909
172,kramfors,62.9316,17.7765,16.89,82,37,1.54,SE,1724868170
173,alice springs,-23.7,133.8833,15.75,51,3,0.0,AU,1724868171
174,tumayr,25.7039,45.868,35.58,16,1,5.6,SA,1724868173
175,labrador city,52.9463,-66.9114,9.95,81,75,6.69,CA,1724868174
176,santarem,-2.4431,-54.7083,28.07,78,40,3.6,BR,1724868116
177,pulivendla,14.4167,78.2333,27.75,62,100,9.03,IN,1724868176
178,ambatofinandrahana,-20.55,46.8,12.15,76,0,2.43,MG,1724868178
179,gadzhiyevo,69.2551,33.3362,12.68,65,100,3.75,RU,1724868179
180,abeche,13.8292,20.8324,26.48,71,100,3.68,TD,1724868180
181,porto velho,-8.7619,-63.9039,35.03,26,1,2.06,BR,1724867740
182,san antonio de pale,-1.4014,5.6325,23.38,79,63,4.26,GQ,1724868170
183,kasama,-10.2129,31.1808,23.16,31,54,1.55,ZM,1724868185
184,choibalsan,48.0667,114.5,14.17,83,86,5.78,MN,1724868186
185,bredasdorp,-34.5322,20.0403,5.61,66,76,3.83,ZA,1724868187
186,qalat,32.1058,66.9083,26.87,38,18,3.79,AF,1724868188
187,margate,51.3813,1.3862,24.37,56,81,3.22,GB,1724868045
188,la'ie,21.6477,-157.9253,25.03,89,8,5.03,US,1724868192
189,nosivka,50.9315,31.5828,25.81,33,96,3.34,UA,1724868193
190,east london,-33.0153,27.9116,12.52,40,0,9.26,ZA,1724868195
191,nuku'alofa,-21.1333,-175.2,19.19,100,40,1.03,TO,1724868196
192,la ferte-mace,48.59,-0.358,23.86,45,75,3.24,FR,1724868197
193,acajutla,13.5928,-89.8275,28.98,75,93,3.25,SV,1724868198
194,ad darb,17.7229,42.2526,31.02,72,89,3.94,SA,1724868199
195,puerto gaitan,4.3133,-72.0816,25.86,78,94,3.55,CO,1724868201
196,karuzi,-3.125,30.1333,20.22,60,68,0.94,BI,1724868202
197,pandan,14.0453,124.1694,26.86,85,99,3.82,PH,1724868203
198,touros,-5.1989,-35.4608,27.25,64,44,8.69,BR,1724868204
199,rabo de peixe,37.8,-25.5833,25.73,57,20,5.66,PT,1724868206
200,harlingen,26.1906,-97.6961,33.05,94,75,0.0,US,1724868207
201,constitucion,-35.3333,-72.4167,14.51,56,41,2.69,CL,1724868208
202,mahibadhoo,3.7833,72.9667,28.45,74,100,2.13,MV,1724868210
203,buka,40.8108,69.1986,19.8,36,4,1.98,UZ,1724868211
204,sidney,-33.8679,151.2073,16.61,51,100,7.2,AU,1724867920
205,eno,62.8051,30.1542,14.98,75,99,1.93,FI,1724868214
206,laguna,38.421,-121.4238,31.24,34,0,3.09,US,1724868215
207,aasiaat,68.7098,-52.8699,3.82,81,100,2.11,GL,1724868216
208,naze,28.3667,129.4833,26.51,86,100,6.95,JP,1724868217
209,labytnangi,66.6572,66.4183,13.7,60,48,3.67,RU,1724868218
210,lebu,-37.6167,-73.65,11.02,67,19,8.29,CL,1724867966
211,talladega,33.4359,-86.1058,34.98,39,0,2.06,US,1724868221
212,guangming,45.3333,122.7833,20.44,76,77,3.19,CN,1724868222
213,tres lagoas,-20.7511,-51.6783,33.59,13,5,2.6,BR,1724868223
214,kristiansund,63.1115,7.732,17.36,82,0,1.03,NO,1724868225
215,gaalkacyo,6.7697,47.4308,30.95,46,77,8.56,SO,1724868226
216,quellon,-43.1167,-73.6167,10.1,74,4,4.8,CL,1724868076
217,yeniseysk,58.4497,92.1703,12.44,98,99,1.34,RU,1724868228
218,weinzierl bei krems,48.4,15.6,27.53,74,9,1.92,AT,1724868229
219,laascaanood,8.4774,47.3597,28.7,45,98,10.16,SO,1724868231
220,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,93,0,1.0,RU,1724868232
221,san juan de miraflores,-12.1629,-76.9635,16.29,77,89,4.25,PE,1724868336
222,sisimiut,66.9395,-53.6735,6.01,89,100,5.6,GL,1724868346
223,guerrero negro,27.9769,-114.0611,25.09,57,0,5.7,MX,1724868347
224,san luis de la loma,17.2706,-100.8939,31.1,64,65,3.48,MX,1724868349
225,male,4.1748,73.5089,28.97,84,75,2.57,MV,1724868350
226,ghormach,35.7306,63.7826,24.96,22,0,4.07,AF,1724868352
227,mirny,62.5353,113.9611,6.4,85,100,1.17,RU,1724868353
228,bom jesus da lapa,-13.255,-43.4181,33.54,23,32,6.95,BR,1724868354
229,benalup-casas viejas,36.3239,-5.769,27.72,58,0,3.04,ES,1724868355
230,ungsang-nodongjagu,42.3578,130.4622,15.95,89,55,1.54,KP,1724868357
231,porto novo,6.4965,2.6036,25.9,84,71,3.59,BJ,1724868158
232,ciudad lazaro cardenas,17.9583,-102.2,31.34,62,84,2.84,MX,1724868132
233,soure,-0.7167,-48.5233,30.31,61,41,5.51,BR,1724868361
